outcome,R,entry_p,exit_p,entry_ts,exit_ts,be_activated,sl_price,tp_price,be_trigger_price,log_events,trade_id,month
TP,1.2,1.08321,1.08272,2024-07-30 11:06:12.274000+00:00,2024-07-30 11:45:33.621000+00:00,True,1.08356,1.08272,1.08307,"[{'ts': Timestamp('2024-07-30 11:09:26.372000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08307}]",2208,2024_07
TP,1.2,1.08382,1.082868,2024-07-31 11:42:09.035000+00:00,2024-07-31 11:54:32.692000+00:00,True,1.0845,1.082868,1.083548,"[{'ts': Timestamp('2024-07-31 11:43:41.645000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08353}]",2209,2024_07
BE,-0.2,1.07958,1.07958,2024-08-01 13:00:07.678000+00:00,2024-08-01 13:34:41.203000+00:00,True,1.08089,1.077746,1.079056,"[{'ts': Timestamp('2024-08-01 13:07:24.908000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07905}]",2210,2024_08
TP,1.2,1.08243,1.083116,2024-08-02 11:00:06.132000+00:00,2024-08-02 11:18:03.299000+00:00,True,1.08194,1.083116,1.082626,"[{'ts': Timestamp('2024-08-02 11:01:47.917000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08263}]",2211,2024_08
TIME_EXIT,0.722222222222096,1.09091,1.09174,2024-08-06 11:00:06.381000+00:00,2024-08-06 12:00:01.252000+00:00,True,1.09001,1.09217,1.09127,"[{'ts': Timestamp('2024-08-06 11:55:44.798000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.09127}]",2212,2024_08
BE,-0.2,1.09216,1.09216,2024-08-07 14:18:06.254000+00:00,2024-08-07 14:25:21.475000+00:00,True,1.09156,1.093,1.0924,"[{'ts': Timestamp('2024-08-07 14:22:28.361000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0924}]",2213,2024_08
TP,1.2,1.09236,1.089336,2024-08-08 12:30:06.178000+00:00,2024-08-08 12:53:55.347000+00:00,True,1.09452,1.089336,1.091496,"[{'ts': Timestamp('2024-08-08 12:32:10.154000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.09149}]",2214,2024_08
BE,-0.2,1.09154,1.09154,2024-08-09 12:15:14.033000+00:00,2024-08-09 12:26:42.348000+00:00,True,1.09221,1.090602,1.091272,"[{'ts': Timestamp('2024-08-09 12:23:34.584000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.09127}]",2215,2024_08
TIME_EXIT,-0.36883116883112144,1.09272,1.09259,2024-08-12 11:03:08.445000+00:00,2024-08-12 12:03:02.810000+00:00,False,1.09195,1.093798,1.093028,[],2216,2024_08
BE,-0.2,1.09249,1.09249,2024-08-13 11:09:16.746000+00:00,2024-08-13 11:17:25.940000+00:00,True,1.09208,1.093064,1.092654,"[{'ts': Timestamp('2024-08-13 11:15:42.833000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.09266}]",2217,2024_08
