month,trade_id,direction,entry_time_utc,original_exit_time_utc,close_model,close_time_ny,close_time_utc,executable_exit_price,tick_R,auditable_yes_no,non_auditable_reason,delta_vs_original_R
2017-08,595,SHORT,2017-08-01 15:36:00+00:00,2017-08-01 17:12:00+00:00,19:00,2017-08-01 19:00:00-04:00,2017-08-01 23:00:00+00:00,1.18057,-0.299999999999937,YES,,0.1800000000000509
2017-08,595,SHORT,2017-08-01 15:36:00+00:00,2017-08-01 17:12:00+00:00,19:45,2017-08-01 19:45:00-04:00,2017-08-01 23:45:00+00:00,1.18044,-0.2349999999999617,YES,,0.24500000000002617
2017-08,595,SHORT,2017-08-01 15:36:00+00:00,2017-08-01 17:12:00+00:00,20:00,2017-08-01 20:00:00-04:00,2017-08-02 00:00:00+00:00,1.18114,-0.5849999999999992,YES,,-0.1050000000000113
2017-08,596,LONG,2017-08-02 17:00:00+00:00,2017-08-02 17:09:00+00:00,19:00,2017-08-02 19:00:00-04:00,2017-08-02 23:00:00+00:00,1.18513,-2.239999999999872,YES,,-3.8000000000000256
2017-08,596,LONG,2017-08-02 17:00:00+00:00,2017-08-02 17:09:00+00:00,19:45,2017-08-02 19:45:00-04:00,2017-08-02 23:45:00+00:00,1.18489,-2.5599999999998957,YES,,-4.12000000000005
2017-08,596,LONG,2017-08-02 17:00:00+00:00,2017-08-02 17:09:00+00:00,20:00,2017-08-02 20:00:00-04:00,2017-08-03 00:00:00+00:00,1.18514,-2.226666666666451,YES,,-3.786666666666605
2017-08,597,LONG,2017-08-03 14:03:00+00:00,2017-08-03 14:15:00+00:00,19:00,2017-08-03 19:00:00-04:00,2017-08-03 23:00:00+00:00,1.18772,1.402298850574839,YES,,0.781609195402315
2017-08,597,LONG,2017-08-03 14:03:00+00:00,2017-08-03 14:15:00+00:00,19:45,2017-08-03 19:45:00-04:00,2017-08-03 23:45:00+00:00,1.18822,1.6896551724138877,YES,,1.0689655172413637
2017-08,597,LONG,2017-08-03 14:03:00+00:00,2017-08-03 14:15:00+00:00,20:00,2017-08-03 20:00:00-04:00,2017-08-04 00:00:00+00:00,1.18822,1.6896551724138877,YES,,1.0689655172413637
2017-08,598,LONG,2017-08-04 11:57:00+00:00,2017-08-04 12:30:00+00:00,19:00,2017-08-04 19:00:00-04:00,2017-08-04 23:00:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-08,598,LONG,2017-08-04 11:57:00+00:00,2017-08-04 12:30:00+00:00,19:45,2017-08-04 19:45:00-04:00,2017-08-04 23:45:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-08,598,LONG,2017-08-04 11:57:00+00:00,2017-08-04 12:30:00+00:00,20:00,2017-08-04 20:00:00-04:00,2017-08-05 00:00:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-08,599,SHORT,2017-08-08 14:03:00+00:00,2017-08-08 14:24:00+00:00,19:00,2017-08-08 19:00:00-04:00,2017-08-08 23:00:00+00:00,1.17593,2.4974874371858746,YES,,0.5477386934673267
2017-08,599,SHORT,2017-08-08 14:03:00+00:00,2017-08-08 14:24:00+00:00,19:45,2017-08-08 19:45:00-04:00,2017-08-08 23:45:00+00:00,1.17615,2.38693467336673,YES,,0.43718592964818215
2017-08,599,SHORT,2017-08-08 14:03:00+00:00,2017-08-08 14:24:00+00:00,20:00,2017-08-08 20:00:00-04:00,2017-08-09 00:00:00+00:00,1.17544,2.7437185929646963,YES,,0.7939698492461484
2017-08,600,SHORT,2017-08-09 13:09:00+00:00,2017-08-09 13:12:00+00:00,19:00,2017-08-09 19:00:00-04:00,2017-08-09 23:00:00+00:00,1.17629,-1.6978417266185613,YES,,-2.1223021582730817
2017-08,600,SHORT,2017-08-09 13:09:00+00:00,2017-08-09 13:12:00+00:00,19:45,2017-08-09 19:45:00-04:00,2017-08-09 23:45:00+00:00,1.17595,-1.4532374100718288,YES,,-1.8776978417263492
2017-08,600,SHORT,2017-08-09 13:09:00+00:00,2017-08-09 13:12:00+00:00,20:00,2017-08-09 20:00:00-04:00,2017-08-10 00:00:00+00:00,1.17633,-1.726618705035852,YES,,-2.151079136690372
2017-08,601,SHORT,2017-08-10 14:09:00+00:00,2017-08-10 16:24:00+00:00,19:00,2017-08-10 19:00:00-04:00,2017-08-10 23:00:00+00:00,1.17659,-0.9325513196480549,YES,,-0.2961876832844357
2017-08,601,SHORT,2017-08-10 14:09:00+00:00,2017-08-10 16:24:00+00:00,19:45,2017-08-10 19:45:00-04:00,2017-08-10 23:45:00+00:00,1.17666,-0.9530791788855952,YES,,-0.316715542521976
2017-08,601,SHORT,2017-08-10 14:09:00+00:00,2017-08-10 16:24:00+00:00,20:00,2017-08-10 20:00:00-04:00,2017-08-11 00:00:00+00:00,1.17704,-1.0645161290322334,YES,,-0.4281524926686141
2017-08,602,SHORT,2017-08-11 11:57:00+00:00,2017-08-11 12:30:00+00:00,19:00,2017-08-11 19:00:00-04:00,2017-08-11 23:00:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-08,602,SHORT,2017-08-11 11:57:00+00:00,2017-08-11 12:30:00+00:00,19:45,2017-08-11 19:45:00-04:00,2017-08-11 23:45:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-08,602,SHORT,2017-08-11 11:57:00+00:00,2017-08-11 12:30:00+00:00,20:00,2017-08-11 20:00:00-04:00,2017-08-12 00:00:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-08,603,LONG,2017-08-14 13:00:00+00:00,2017-08-14 14:00:00+00:00,19:00,2017-08-14 19:00:00-04:00,2017-08-14 23:00:00+00:00,1.17783,-1.0355029585799034,YES,,-0.7514792899408457
2017-08,603,LONG,2017-08-14 13:00:00+00:00,2017-08-14 14:00:00+00:00,19:45,2017-08-14 19:45:00-04:00,2017-08-14 23:45:00+00:00,1.17738,-1.301775147928905,YES,,-1.0177514792898474
2017-08,603,LONG,2017-08-14 13:00:00+00:00,2017-08-14 14:00:00+00:00,20:00,2017-08-14 20:00:00-04:00,2017-08-15 00:00:00+00:00,1.17757,-1.189349112426005,YES,,-0.9053254437869472
2017-08,604,LONG,2017-08-16 13:33:00+00:00,2017-08-16 15:36:00+00:00,19:00,2017-08-16 19:00:00-04:00,2017-08-16 23:00:00+00:00,1.17772,4.687499999999519,YES,,4.249999999999604
2017-08,604,LONG,2017-08-16 13:33:00+00:00,2017-08-16 15:36:00+00:00,19:45,2017-08-16 19:45:00-04:00,2017-08-16 23:45:00+00:00,1.17711,4.340909090908649,YES,,3.9034090909087347
2017-08,604,LONG,2017-08-16 13:33:00+00:00,2017-08-16 15:36:00+00:00,20:00,2017-08-16 20:00:00-04:00,2017-08-17 00:00:00+00:00,1.17737,4.488636363635864,YES,,4.051136363635949
2017-08,605,LONG,2017-08-18 19:00:00+00:00,2017-08-20 21:12:00+00:00,19:00,2017-08-18 19:00:00-04:00,2017-08-18 23:00:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-08,605,LONG,2017-08-18 19:00:00+00:00,2017-08-20 21:12:00+00:00,19:45,2017-08-18 19:45:00-04:00,2017-08-18 23:45:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-08,605,LONG,2017-08-18 19:00:00+00:00,2017-08-20 21:12:00+00:00,20:00,2017-08-18 20:00:00-04:00,2017-08-19 00:00:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-08,607,LONG,2017-08-22 18:42:00+00:00,2017-08-22 21:00:00+00:00,19:00,2017-08-22 19:00:00-04:00,2017-08-22 23:00:00+00:00,1.17645,1.6438356164378038,YES,,0.45205479452028174
2017-08,607,LONG,2017-08-22 18:42:00+00:00,2017-08-22 21:00:00+00:00,19:45,2017-08-22 19:45:00-04:00,2017-08-22 23:45:00+00:00,1.17641,1.5890410958898264,YES,,0.39726027397230435
2017-08,607,LONG,2017-08-22 18:42:00+00:00,2017-08-22 21:00:00+00:00,20:00,2017-08-22 20:00:00-04:00,2017-08-23 00:00:00+00:00,1.17617,1.2602739726022656,YES,,0.06849315068474349
2017-08,608,LONG,2017-08-23 11:09:00+00:00,2017-08-23 11:30:00+00:00,19:00,2017-08-23 19:00:00-04:00,2017-08-23 23:00:00+00:00,1.18112,4.53333333333116,YES,,2.9833333333317724
2017-08,608,LONG,2017-08-23 11:09:00+00:00,2017-08-23 11:30:00+00:00,19:45,2017-08-23 19:45:00-04:00,2017-08-23 23:45:00+00:00,1.18163,5.383333333330753,YES,,3.8333333333313653
2017-08,608,LONG,2017-08-23 11:09:00+00:00,2017-08-23 11:30:00+00:00,20:00,2017-08-23 20:00:00-04:00,2017-08-24 00:00:00+00:00,1.18154,5.233333333330955,YES,,3.6833333333315674
2017-08,609,LONG,2017-08-24 17:03:00+00:00,2017-08-24 18:51:00+00:00,19:00,2017-08-24 19:00:00-04:00,2017-08-24 23:00:00+00:00,1.18035,-0.5777777777776696,YES,,-0.3444444444443657
