year_month,trades_count,total_R,PF,Winrate,Expectancy,TP,BE,SL,forced_close,classification
2023-06,20.0,9.898629999999999,8.606314883545801,40.0,0.49493149999999997,8.0,10.0,1.0,1.0,GOOD
2023-07,21.0,4.551395999999999,1.8945494426012992,33.33333333333333,0.2167331428571428,6.0,7.0,4.0,4.0,NORMAL
2023-08,22.0,10.2,11.2,36.36363636363637,0.4636363636363636,8.0,13.0,1.0,0.0,GOOD
2023-09,18.0,1.1284729999999998,1.2523685980203183,22.22222222222222,0.06269294444444444,4.0,8.0,3.0,3.0,NORMAL
2023-10,21.0,5.6203389999999995,3.8101694999999998,28.57142857142857,0.26763519047619044,5.0,13.0,2.0,1.0,GOOD
2023-11,19.0,5.176951999999999,2.606228638233126,31.57894736842105,0.2724711578947368,6.0,9.0,3.0,1.0,GOOD
2023-12,17.0,4.399999999999999,2.1,35.294117647058826,0.2588235294117646,6.0,7.0,4.0,0.0,NORMAL
2024-01,20.0,5.342623,2.3001708374197225,35.0,0.26713115,6.0,8.0,4.0,2.0,GOOD
2024-02,19.0,1.9210239999999992,1.4802559999999998,26.31578947368421,0.10110652631578942,3.0,10.0,4.0,2.0,NORMAL
2024-03,19.0,6.127535999999999,3.6964281942420207,31.57894736842105,0.32250189473684204,6.0,10.0,2.0,1.0,GOOD
2024-04,21.0,1.5011289999999997,1.2729885825654028,23.809523809523807,0.07148233333333331,5.0,10.0,5.0,1.0,NORMAL
2024-05,23.0,5.026064,3.513032,26.08695652173913,0.21852452173913042,4.0,15.0,2.0,2.0,GOOD
2024-06,15.0,14.950715,14.950715,73.33333333333333,0.9967143333333334,10.0,4.0,0.0,1.0,GOOD
2024-07,21.0,9.255284999999999,10.255284999999999,38.095238095238095,0.4407278571428571,7.0,12.0,1.0,1.0,GOOD
2024-08,20.0,9.2,5.6,40.0,0.45999999999999996,8.0,10.0,2.0,0.0,GOOD
2024-09,20.0,6.399999999999999,4.2,30.0,0.31999999999999995,6.0,12.0,2.0,0.0,GOOD
2024-10,23.0,0.9999999999999996,1.1666666666666667,21.73913043478261,0.043478260869565195,5.0,12.0,6.0,0.0,NORMAL
2024-11,19.0,4.804754,1.9565276249566752,42.10526315789473,0.2528817894736842,7.0,5.0,5.0,2.0,NORMAL
2024-12,18.0,0.9553879999999999,1.205698129359352,22.22222222222222,0.0530771111111111,4.0,8.0,4.0,2.0,NORMAL
2025-01,20.0,2.1370369999999994,1.617112282169922,20.0,0.10685184999999997,4.0,12.0,3.0,1.0,NORMAL
2025-02,19.0,-1.8000000000000003,0.6999999999999998,15.789473684210526,-0.09473684210526317,3.0,10.0,6.0,0.0,NORMAL
2025-03,18.0,4.663316999999999,2.554439,33.33333333333333,0.25907316666666663,5.0,9.0,3.0,1.0,NORMAL
2025-04,20.0,3.9687499999999996,2.3092783505154637,25.0,0.1984375,5.0,11.0,3.0,1.0,NORMAL
2025-05,20.0,2.9473679999999995,1.7272725478158393,25.0,0.14736839999999998,5.0,10.0,4.0,1.0,NORMAL
2025-06,19.0,2.9999999999999996,1.75,26.31578947368421,0.15789473684210523,5.0,10.0,4.0,0.0,NORMAL
2025-07,22.0,8.2,3.733333333333333,36.36363636363637,0.3727272727272727,8.0,11.0,3.0,0.0,GOOD
2025-08,19.0,10.998610999999999,11.998610999999999,47.368421052631575,0.5788742631578947,8.0,9.0,1.0,1.0,GOOD
2025-09,22.0,1.9999999999999996,1.4,22.727272727272727,0.09090909090909088,5.0,12.0,5.0,0.0,NORMAL
2025-10,20.0,3.3999999999999995,1.6800000000000002,30.0,0.16999999999999998,6.0,9.0,5.0,0.0,NORMAL
2025-11,17.0,-1.8000000000000007,0.6999999999999998,17.647058823529413,-0.10588235294117651,3.0,8.0,6.0,0.0,NORMAL
2025-12,21.0,2.2934779999999995,1.4586956,28.57142857142857,0.10921323809523807,5.0,10.0,5.0,1.0,NORMAL
2026-01,20.0,8.758763,9.411882213175291,35.0,0.43793815,7.0,11.0,1.0,1.0,GOOD
2026-02,19.0,8.799999999999999,9.8,36.84210526315789,0.46315789473684205,7.0,11.0,1.0,0.0,GOOD
2026-03,22.0,4.799999999999999,1.9600000000000002,31.818181818181817,0.21818181818181814,7.0,10.0,5.0,0.0,NORMAL
2026-04,17.0,2.626314,2.163659355305227,23.52941176470588,0.1544890588235294,3.0,10.0,2.0,2.0,NORMAL
