config_id,phase,slippage,net_r
V49_7_0017,TRAIN,0.5,-1.2817
V49_7_0018,TRAIN,0.2,-1.1522
V49_7_0018,TRAIN,0.2,-1.2692
V49_7_0018,TRAIN,0.2,-0.025
V49_7_0018,TRAIN,0.2,-0.0487
V49_7_0018,TRAIN,0.2,-0.05
V49_7_0018,TRAIN,0.2,-1.1591
V49_7_0018,TRAIN,0.2,-1.2187
V49_7_0018,TRAIN,0.3,-1.1739
V49_7_0018,TRAIN,0.3,-1.3077
V49_7_0018,TRAIN,0.3,-0.0375
V49_7_0018,TRAIN,0.3,-0.0519
V49_7_0018,TRAIN,0.3,-0.075
V49_7_0018,TRAIN,0.3,-1.1818
V49_7_0018,TRAIN,0.3,-1.25
V49_7_0018,TRAIN,0.5,-1.2174
V49_7_0018,TRAIN,0.5,-1.3846
V49_7_0018,TRAIN,0.5,-0.0625
V49_7_0018,TRAIN,0.5,-0.0584
V49_7_0018,TRAIN,0.5,-0.125
V49_7_0018,TRAIN,0.5,-1.2273
V49_7_0018,TRAIN,0.5,-1.3125
V49_7_0019,TRAIN,0.2,-0.0303
V49_7_0019,TRAIN,0.2,1.8704
V49_7_0019,TRAIN,0.2,1.8971
V49_7_0019,TRAIN,0.2,-1.1842
V49_7_0019,TRAIN,0.2,-1.1667
V49_7_0019,TRAIN,0.2,1.9028
V49_7_0019,TRAIN,0.3,-0.0455
V49_7_0019,TRAIN,0.3,1.8519
V49_7_0019,TRAIN,0.3,1.8824
V49_7_0019,TRAIN,0.3,-1.2105
V49_7_0019,TRAIN,0.3,-1.1905
V49_7_0019,TRAIN,0.3,1.8889
V49_7_0019,TRAIN,0.5,-0.0758
V49_7_0019,TRAIN,0.5,1.8148
V49_7_0019,TRAIN,0.5,1.8529
V49_7_0019,TRAIN,0.5,-1.2632
V49_7_0019,TRAIN,0.5,-1.2381
V49_7_0019,TRAIN,0.5,1.8611
V49_7_0020,TRAIN,0.2,-0.0404
V49_7_0020,TRAIN,0.2,2.3272
V49_7_0020,TRAIN,0.2,-1.1867
V49_7_0020,TRAIN,0.2,-1.1609
V49_7_0020,TRAIN,0.2,-1.2456
V49_7_0020,TRAIN,0.2,2.3704
V49_7_0020,TRAIN,0.2,-1.2745
V49_7_0020,TRAIN,0.3,-0.0606
V49_7_0020,TRAIN,0.3,2.3025
V49_7_0020,TRAIN,0.3,-1.2133
V49_7_0020,TRAIN,0.3,-1.1839
V49_7_0020,TRAIN,0.3,-1.2807
V49_7_0020,TRAIN,0.3,2.3519
V49_7_0020,TRAIN,0.3,-1.3137
V49_7_0020,TRAIN,0.5,-0.101
V49_7_0020,TRAIN,0.5,2.2531
V49_7_0020,TRAIN,0.5,-1.2667
V49_7_0020,TRAIN,0.5,-1.2299
V49_7_0020,TRAIN,0.5,-1.3509
V49_7_0020,TRAIN,0.5,2.3148
V49_7_0020,TRAIN,0.5,-1.3922
V49_7_0001,VAL,0.2,-1.1
V49_7_0001,VAL,0.2,-1.112
V49_7_0001,VAL,0.2,-1.1346
V49_7_0001,VAL,0.2,-1.175
V49_7_0001,VAL,0.2,-1.1022
V49_7_0001,VAL,0.2,-1.1628
V49_7_0001,VAL,0.2,2.3427
V49_7_0001,VAL,0.2,-0.0541
V49_7_0001,VAL,0.2,-0.0116
V49_7_0001,VAL,0.3,-1.1143
V49_7_0001,VAL,0.3,-1.128
V49_7_0001,VAL,0.3,-1.1538
V49_7_0001,VAL,0.3,-1.2
V49_7_0001,VAL,0.3,-1.1168
V49_7_0001,VAL,0.3,-1.186
V49_7_0001,VAL,0.3,2.3202
V49_7_0001,VAL,0.3,-0.0811
V49_7_0001,VAL,0.3,-0.0174
V49_7_0001,VAL,0.5,-1.1429
V49_7_0001,VAL,0.5,-1.16
V49_7_0001,VAL,0.5,-1.1923
V49_7_0001,VAL,0.5,-1.25
V49_7_0001,VAL,0.5,-1.146
V49_7_0001,VAL,0.5,-1.2326
V49_7_0001,VAL,0.5,2.2753
V49_7_0001,VAL,0.5,-0.1351
V49_7_0001,VAL,0.5,-0.0291
V49_7_0002,VAL,0.2,-1.1333
V49_7_0002,VAL,0.2,-1.1556
V49_7_0002,VAL,0.2,-0.0272
V49_7_0002,VAL,0.2,-1.1296
V49_7_0002,VAL,0.2,-0.0494
V49_7_0002,VAL,0.2,-0.058
V49_7_0002,VAL,0.2,2.4048
V49_7_0002,VAL,0.2,2.3272
V49_7_0002,VAL,0.2,-0.0123
V49_7_0002,VAL,0.2,-0.058
V49_7_0002,VAL,0.3,-1.1524
V49_7_0002,VAL,0.3,-1.1778
V49_7_0002,VAL,0.3,-0.0408
V49_7_0002,VAL,0.3,-1.1481
V49_7_0002,VAL,0.3,-0.0741
V49_7_0002,VAL,0.3,-0.087
V49_7_0002,VAL,0.3,2.3912
V49_7_0002,VAL,0.3,2.3025
V49_7_0002,VAL,0.3,-0.0185
V49_7_0002,VAL,0.3,-0.087
V49_7_0002,VAL,0.5,-1.1905
