config_id,phase,slippage,net_r
V49_7_0045,TRAIN,0.5,-1.3846
V49_7_0046,TRAIN,0.2,1.2627
V49_7_0046,TRAIN,0.3,1.2288
V49_7_0046,TRAIN,0.5,1.161
V49_7_0048,TRAIN,0.2,-1.2692
V49_7_0048,TRAIN,0.3,-1.3077
V49_7_0048,TRAIN,0.5,-1.3846
V49_7_0052,TRAIN,0.2,-1.2692
V49_7_0052,TRAIN,0.3,-1.3077
V49_7_0052,TRAIN,0.5,-1.3846
V49_7_0053,TRAIN,0.2,-0.1026
V49_7_0053,TRAIN,0.3,-0.1538
V49_7_0053,TRAIN,0.5,-0.2564
V49_7_0054,TRAIN,0.2,-0.0769
V49_7_0054,TRAIN,0.3,-0.1154
V49_7_0054,TRAIN,0.5,-0.1923
V49_7_0056,TRAIN,0.2,-1.1667
V49_7_0056,TRAIN,0.3,-1.1905
V49_7_0056,TRAIN,0.5,-1.2381
V49_7_0057,TRAIN,0.2,1.2627
V49_7_0057,TRAIN,0.3,1.2288
V49_7_0057,TRAIN,0.5,1.161
V49_7_0061,TRAIN,0.2,-1.125
V49_7_0061,TRAIN,0.3,-1.1429
V49_7_0061,TRAIN,0.5,-1.1786
V49_7_0064,TRAIN,0.2,1.2627
V49_7_0064,TRAIN,0.3,1.2288
V49_7_0064,TRAIN,0.5,1.161
V49_7_0069,TRAIN,0.2,-1.1346
V49_7_0069,TRAIN,0.3,-1.1538
V49_7_0069,TRAIN,0.5,-1.1923
V49_7_0072,TRAIN,0.2,-0.0769
V49_7_0072,TRAIN,0.3,-0.1154
V49_7_0072,TRAIN,0.5,-0.1923
V49_7_0076,TRAIN,0.2,-1.1346
V49_7_0076,TRAIN,0.3,-1.1538
V49_7_0076,TRAIN,0.5,-1.1923
V49_7_0078,TRAIN,0.2,-1.1346
V49_7_0078,TRAIN,0.3,-1.1538
V49_7_0078,TRAIN,0.5,-1.1923
V49_7_0083,TRAIN,0.2,-0.0769
V49_7_0083,TRAIN,0.3,-0.1154
V49_7_0083,TRAIN,0.5,-0.1923
V49_7_0085,TRAIN,0.2,-0.0678
V49_7_0085,TRAIN,0.3,-0.1017
V49_7_0085,TRAIN,0.5,-0.1695
V49_7_0086,TRAIN,0.2,-0.0678
V49_7_0086,TRAIN,0.3,-0.1017
V49_7_0086,TRAIN,0.5,-0.1695
V49_7_0089,TRAIN,0.2,-0.0769
V49_7_0089,TRAIN,0.3,-0.1154
V49_7_0089,TRAIN,0.5,-0.1923
V49_7_0092,TRAIN,0.2,-0.1026
V49_7_0092,TRAIN,0.3,-0.1538
V49_7_0092,TRAIN,0.5,-0.2564
V49_7_0096,TRAIN,0.2,-0.1026
V49_7_0096,TRAIN,0.3,-0.1538
V49_7_0096,TRAIN,0.5,-0.2564
V49_7_0100,TRAIN,0.2,-1.1667
V49_7_0100,TRAIN,0.3,-1.1905
V49_7_0100,TRAIN,0.5,-1.2381
V49_7_0003,TRAIN,0.2,-1.2029
V49_7_0003,TRAIN,0.3,-1.2319
V49_7_0003,TRAIN,0.5,-1.2899
V49_7_0004,TRAIN,0.2,-1.2593
V49_7_0004,TRAIN,0.3,-1.2963
V49_7_0004,TRAIN,0.5,-1.3704
V49_7_0022,TRAIN,0.2,-1.1522
V49_7_0022,TRAIN,0.3,-1.1739
V49_7_0022,TRAIN,0.5,-1.2174
V49_7_0046,TRAIN,0.2,-1.1892
V49_7_0046,TRAIN,0.3,-1.2162
V49_7_0046,TRAIN,0.5,-1.2703
V49_7_0069,TRAIN,0.2,-1.1573
V49_7_0069,TRAIN,0.3,-1.1798
V49_7_0069,TRAIN,0.5,-1.2247
V49_7_0085,TRAIN,0.2,-0.0541
V49_7_0085,TRAIN,0.3,-0.0811
V49_7_0085,TRAIN,0.5,-0.1351
V49_7_0089,TRAIN,0.2,-0.0556
V49_7_0089,TRAIN,0.3,-0.0833
V49_7_0089,TRAIN,0.5,-0.1389
V49_7_0096,TRAIN,0.2,-1.2593
V49_7_0096,TRAIN,0.3,-1.2963
V49_7_0096,TRAIN,0.5,-1.3704
V49_7_0100,TRAIN,0.2,-1.2029
V49_7_0100,TRAIN,0.3,-1.2319
V49_7_0100,TRAIN,0.5,-1.2899
V49_7_0011,TRAIN,0.2,-1.1138
V49_7_0011,TRAIN,0.3,-1.1301
V49_7_0011,TRAIN,0.5,-1.1626
V49_7_0025,TRAIN,0.2,-1.1138
V49_7_0025,TRAIN,0.3,-1.1301
V49_7_0025,TRAIN,0.5,-1.1626
V49_7_0030,TRAIN,0.2,-1.0979
V49_7_0030,TRAIN,0.3,-1.1119
V49_7_0030,TRAIN,0.5,-1.1399
V49_7_0031,TRAIN,0.2,-1.0979
V49_7_0031,TRAIN,0.3,-1.1119
V49_7_0031,TRAIN,0.5,-1.1399
V49_7_0037,TRAIN,0.2,-1.0979
V49_7_0037,TRAIN,0.3,-1.1119
V49_7_0037,TRAIN,0.5,-1.1399
V49_7_0047,TRAIN,0.2,-1.1138
V49_7_0047,TRAIN,0.3,-1.1301
V49_7_0047,TRAIN,0.5,-1.1626
V49_7_0050,TRAIN,0.2,-1.0979
V49_7_0050,TRAIN,0.3,-1.1119
V49_7_0050,TRAIN,0.5,-1.1399
V49_7_0065,TRAIN,0.2,-1.0979
V49_7_0065,TRAIN,0.3,-1.1119
V49_7_0065,TRAIN,0.5,-1.1399
V49_7_0066,TRAIN,0.2,-1.0979
V49_7_0066,TRAIN,0.3,-1.1119
V49_7_0066,TRAIN,0.5,-1.1399
V49_7_0081,TRAIN,0.2,-1.1138
V49_7_0081,TRAIN,0.3,-1.1301
V49_7_0081,TRAIN,0.5,-1.1626
V49_7_0090,TRAIN,0.2,-1.0979
V49_7_0090,TRAIN,0.3,-1.1119
V49_7_0090,TRAIN,0.5,-1.1399
V49_7_0097,TRAIN,0.2,-1.1138
V49_7_0097,TRAIN,0.3,-1.1301
V49_7_0097,TRAIN,0.5,-1.1626
V49_7_0003,TRAIN,0.2,-1.1138
V49_7_0003,TRAIN,0.3,-1.1301
V49_7_0003,TRAIN,0.5,-1.1626
V49_7_0004,TRAIN,0.2,-1.1138
V49_7_0004,TRAIN,0.3,-1.1301
V49_7_0004,TRAIN,0.5,-1.1626
V49_7_0022,TRAIN,0.2,-1.0854
V49_7_0022,TRAIN,0.3,-1.0976
V49_7_0022,TRAIN,0.5,-1.122
V49_7_0046,TRAIN,0.2,-1.0979
V49_7_0046,TRAIN,0.3,-1.1119
V49_7_0046,TRAIN,0.5,-1.1399
V49_7_0069,TRAIN,0.2,-1.0979
V49_7_0069,TRAIN,0.3,-1.1119
V49_7_0069,TRAIN,0.5,-1.1399
V49_7_0085,TRAIN,0.2,-1.0979
V49_7_0085,TRAIN,0.3,-1.1119
V49_7_0085,TRAIN,0.5,-1.1399
V49_7_0089,TRAIN,0.2,-1.0854
V49_7_0089,TRAIN,0.3,-1.0976
V49_7_0089,TRAIN,0.5,-1.122
V49_7_0096,TRAIN,0.2,-1.1138
V49_7_0096,TRAIN,0.3,-1.1301
V49_7_0096,TRAIN,0.5,-1.1626
V49_7_0100,TRAIN,0.2,-1.1138
V49_7_0100,TRAIN,0.3,-1.1301
V49_7_0100,TRAIN,0.5,-1.1626
V49_7_0004,TRAIN,0.2,-1.1505
V49_7_0004,TRAIN,0.3,-1.172
V49_7_0004,TRAIN,0.5,-1.2151
V49_7_0022,TRAIN,0.2,-1.1129
V49_7_0022,TRAIN,0.3,-1.129
V49_7_0022,TRAIN,0.5,-1.1613
V49_7_0085,TRAIN,0.2,-1.1239
V49_7_0085,TRAIN,0.3,-1.1416
V49_7_0085,TRAIN,0.5,-1.177
V49_7_0089,TRAIN,0.2,-1.1129
V49_7_0089,TRAIN,0.3,-1.129
V49_7_0089,TRAIN,0.5,-1.1613
V49_7_0100,TRAIN,0.2,-1.1505
V49_7_0100,TRAIN,0.3,-1.172
V49_7_0100,TRAIN,0.5,-1.2151
V49_7_0002,TRAIN,0.2,-2.1667
V49_7_0002,TRAIN,0.3,-2.3333
V49_7_0002,TRAIN,0.5,-2.6667
V49_7_0003,TRAIN,0.2,-1.2456
V49_7_0003,TRAIN,0.3,-1.2807
V49_7_0003,TRAIN,0.5,-1.3509
V49_7_0004,TRAIN,0.2,-2.1667
V49_7_0004,TRAIN,0.3,-2.3333
V49_7_0004,TRAIN,0.5,-2.6667
V49_7_0006,TRAIN,0.2,-2.1667
V49_7_0006,TRAIN,0.3,-2.3333
V49_7_0006,TRAIN,0.5,-2.6667
V49_7_0009,TRAIN,0.2,-1.875
V49_7_0009,TRAIN,0.3,-2.0
V49_7_0009,TRAIN,0.5,-2.25
V49_7_0012,TRAIN,0.2,-1.1842
