config_id,N_train,PF_train,N_val,PF_val,Total_R
V49_7B_0319,59,0.6,0,0.0,-18.04
V49_7B_0320,87,0.58,0,0.0,-29.98
V49_7B_0321,44,0.65,0,0.0,-12.03
V49_7B_0322,59,0.79,0,0.0,-9.98
V49_7B_0323,36,0.52,0,0.0,-13.83
V49_7B_0324,58,0.78,0,0.0,-9.19
V49_7B_0325,49,0.82,0,0.0,-6.42
V49_7B_0326,31,0.53,0,0.0,-12.46
V49_7B_0327,44,0.88,0,0.0,-4.0
V49_7B_0328,51,0.6,0,0.0,-15.69
V49_7B_0329,50,0.6,0,0.0,-15.14
V49_7B_0330,58,0.56,0,0.0,-22.64
V49_7B_0331,81,0.67,0,0.0,-19.61
V49_7B_0332,48,0.81,0,0.0,-7.43
V49_7B_0333,53,0.77,0,0.0,-9.53
V49_7B_0334,34,0.82,0,0.0,-5.0
V49_7B_0335,37,0.81,0,0.0,-5.57
V49_7B_0336,56,0.46,0,0.0,-24.46
V49_7B_0337,28,0.68,0,0.0,-7.13
V49_7B_0338,41,0.71,0,0.0,-8.81
V49_7B_0339,81,0.64,0,0.0,-23.73
V49_7B_0340,28,0.87,0,0.0,-2.81
V49_7B_0341,64,0.55,0,0.0,-24.68
V49_7B_0342,59,0.72,0,0.0,-12.6
V49_7B_0343,35,0.78,0,0.0,-5.87
V49_7B_0344,40,0.62,0,0.0,-11.3
V49_7B_0345,90,0.68,0,0.0,-20.51
V49_7B_0346,48,0.65,0,0.0,-13.52
V49_7B_0347,53,0.67,0,0.0,-14.92
V49_7B_0348,39,0.61,0,0.0,-12.79
V49_7B_0349,41,0.72,0,0.0,-9.49
V49_7B_0350,47,0.72,0,0.0,-10.93
V49_7B_0351,47,0.83,0,0.0,-6.34
V49_7B_0352,103,0.66,0,0.0,-28.58
V49_7B_0353,37,0.76,0,0.0,-7.05
V49_7B_0354,41,0.79,0,0.0,-5.69
V49_7B_0355,53,0.73,0,0.0,-11.31
V49_7B_0356,71,0.74,0,0.0,-15.33
V49_7B_0357,56,0.48,0,0.0,-23.46
V49_7B_0358,54,0.89,0,0.0,-4.71
V49_7B_0359,37,0.66,0,0.0,-10.62
V49_7B_0360,44,0.64,0,0.0,-12.61
V49_7B_0361,45,0.88,0,0.0,-4.33
V49_7B_0362,47,0.66,0,0.0,-12.45
V49_7B_0363,50,0.62,0,0.0,-15.26
V49_7B_0364,35,0.7,0,0.0,-8.75
V49_7B_0365,41,0.88,0,0.0,-3.69
V49_7B_0366,49,0.84,0,0.0,-6.21
V49_7B_0367,61,0.75,0,0.0,-11.24
V49_7B_0368,55,0.62,0,0.0,-15.75
V49_7B_0369,54,0.93,0,0.0,-3.14
V49_7B_0370,90,0.74,0,0.0,-18.75
V49_7B_0371,88,0.74,0,0.0,-18.75
V49_7B_0372,42,0.43,0,0.0,-21.57
V49_7B_0373,57,0.48,0,0.0,-23.68
