pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason
GBPUSD,long,2020-06-02 12:10:00-04:00,2020-06-02 13:40:00-04:00,1.25397,1.2529490863495611,640000,-653.3847362808842,-685.4733005861586,-1.091892269708659,32.08856430527439,stop_loss
EURUSD,long,2020-06-02 14:45:00-04:00,2020-06-02 15:10:00-04:00,1.11694,1.1164496752208106,1353000,-663.4094262432875,-723.8449508547627,-1.1622067654838566,60.435524611475145,stop_loss
USDJPY,long,2020-06-02 18:10:00-04:00,2020-06-02 18:25:00-04:00,108.67750000000001,108.64975600800939,1646000,-420.2938761256671,-486.13387612566714,-1.3238768126352083,65.84,stop_loss
GBPUSD,long,2020-06-03 17:20:00-04:00,2020-06-03 17:25:00-04:00,1.2579500000000001,1.2573567386316251,1130000,-670.3853462637599,-727.2312785568346,-1.184636973309534,56.84593229307474,stop_loss
EURUSD,long,2020-06-03 17:35:00-04:00,2020-06-03 18:15:00-04:00,1.123585,1.1232005226369683,1444000,-555.1853122177893,-620.0724781115449,-1.2113977316120044,64.88716589375565,stop_loss
GBPUSD,long,2020-06-04 16:45:00-04:00,2020-06-04 17:35:00-04:00,1.2595800000000001,1.258847797196202,885000,-647.9994813613665,-692.5756533717393,-1.1471242208112375,44.57617201037278,stop_loss
USDJPY,long,2020-06-04 18:05:00-04:00,2020-06-04 18:45:00-04:00,109.14750000000001,109.1685,1596000,307.0017953319403,243.16179533194025,0.4931155539296395,63.84,session_close
USDJPY,long,2020-06-05 15:50:00-04:00,2020-06-05 16:15:00-04:00,109.6305,109.59722315532686,1610000,-488.8117215042724,-553.2117215042724,-1.265017193449809,64.4,stop_loss
EURUSD,long,2020-06-05 13:45:00-04:00,2020-06-05 16:20:00-04:00,1.12886,1.1282008823525418,954000,-628.7982356751085,-671.862957310395,-1.119439055557596,43.0647216352865,stop_loss
GBPUSD,long,2020-06-05 16:25:00-04:00,2020-06-07 17:10:00-04:00,1.26688,1.2678102430293792,1070000,995.3600414357045,941.1176702348758,1.5923557494006961,54.24237120082872,take_profit
GBPUSD,long,2020-06-07 17:10:00-04:00,2020-06-07 17:15:00-04:00,1.2682000000000002,1.267473400109129,884000,-642.3143035301448,-687.1450092440742,-1.148852326701713,44.83070571392941,stop_loss
USDJPY,long,2020-06-07 17:25:00-04:00,2020-06-07 17:40:00-04:00,109.59625,109.56377343260667,1581000,-468.48468552502214,-531.7246855250221,-1.305821046922338,63.24,stop_loss
USDJPY,short,2020-06-09 15:50:00-04:00,2020-06-09 16:00:00-04:00,107.7355,107.76656044501327,1571000,-452.7534805136839,-515.5934805136839,-1.2830457189028186,62.84,stop_loss
GBPUSD,long,2020-06-09 16:50:00-04:00,2020-06-09 17:00:00-04:00,1.2731540000000001,1.2726819108529905,1225000,-578.3092050867356,-640.6821849026338,-1.2815970947995932,62.372979815898276,stop_loss
EURUSD,long,2020-06-09 18:10:00-04:00,2020-06-09 18:45:00-04:00,1.13383,1.13391,1365000,109.20000000010921,47.29069800010922,0.1468250192425178,61.909302000000004,session_close
GBPUSD,long,2020-06-10 11:20:00-04:00,2020-06-10 11:35:00-04:00,1.27606,1.2748794266720043,509000,-600.9118239498134,-626.8803873133345,-1.0798009091562994,25.968563363521007,stop_loss
EURUSD,long,2020-06-10 11:45:00-04:00,2020-06-10 12:10:00-04:00,1.13539,1.1345821959806828,740000,-597.7749742946736,-631.3705627951877,-1.0969388715499087,33.59558850051411,stop_loss
GBPUSD,long,2020-06-11 11:20:00-04:00,2020-06-11 11:30:00-04:00,1.26601,1.2644864793186397,385000,-586.555462323759,-606.0402852145126,-1.061077631559086,19.484822890753527,stop_loss
EURUSD,long,2020-06-11 15:45:00-04:00,2020-06-11 15:55:00-04:00,1.13093,1.129944421300408,593000,-584.4481688580785,-611.2621394947014,-1.078714069765361,26.81397063662284,stop_loss
USDJPY,short,2020-06-11 16:05:00-04:00,2020-06-11 16:10:00-04:00,106.8535,106.89991301314566,1400000,-607.835459012861,-663.835459012861,-1.180773776347394,56.00000000000001,stop_loss
