side_exp,choch_time,entry_bid,sl_bid,tp_bid,risk_pips,outcome_exp,be_hit_exp,exit_bid,exit_time_exp,time_min,timestamp_ny,side_rep,entry_price,sl_price,tp_price,outcome_rep,exit_time_rep,exit_price,r_gross,be_hit_rep
LONG,2026-04-08 11:09:00+00:00,1.16941,1.16941,1.1707820000000004,0.0009800000000002,TP,True,1.1707820000000004,2026-04-08 07:27:00-04:00,2026-04-08 11:09:00+00:00,2026-04-08 11:09:00+00:00,LONG,1.16938,1.16848,1.1706400000000003,TP,2026-04-08T07:24:00-04:00,1.1706400000000003,1.4,True
LONG,2026-04-09 11:15:00+00:00,1.16784,1.16784,1.1692540000000002,0.0010100000000001,TP,True,1.1692540000000002,2026-04-09 09:33:00-04:00,2026-04-09 11:15:00+00:00,2026-04-09 11:15:00+00:00,LONG,1.16782,1.16688,1.1691360000000004,TP,2026-04-09T09:18:00-04:00,1.1691360000000004,1.4,True
LONG,2026-04-10 13:21:00+00:00,1.17289,1.17289,1.174486,0.0011400000000001,SL,True,1.17289,2026-04-10 09:33:00-04:00,2026-04-10 13:21:00+00:00,2026-04-10 13:21:00+00:00,LONG,1.17284,1.1718,1.1742960000000002,BE,2026-04-10T12:30:00-04:00,1.17284,0.0,True
SHORT,2026-04-13 11:36:00+00:00,1.16919,1.16919,1.1679719999999991,0.0008700000000003,SL,True,1.16919,2026-04-13 08:45:00-04:00,2026-04-13 11:36:00+00:00,2026-04-13 11:36:00+00:00,SHORT,1.16919,1.1700100000000002,1.1680419999999996,BE,2026-04-13T09:18:00-04:00,1.16919,0.0,True
LONG,2026-04-14 14:15:00+00:00,1.18037,1.18037,1.181966,0.0011400000000001,SL,True,1.18037,2026-04-14 11:00:00-04:00,2026-04-14 14:15:00+00:00,2026-04-14 14:15:00+00:00,LONG,1.18035,1.17928,1.1818480000000002,BE,2026-04-14T11:39:00-04:00,1.18035,0.0,True
LONG,2026-04-15 12:30:00+00:00,1.17872,1.17872,1.1802880000000002,0.0011200000000002,SL,True,1.17872,2026-04-15 09:09:00-04:00,2026-04-15 12:30:00+00:00,2026-04-15 12:30:00+00:00,LONG,1.17868,1.17765,1.180122,TP,2026-04-15T11:12:00-04:00,1.180122,1.4,True
LONG,2026-04-16 16:03:00+00:00,1.17822,1.1767799999999995,1.1802360000000005,0.0014400000000003,FORCED_CLOSE,False,1.17785,2026-04-16 20:00:00-04:00,2026-04-16 16:03:00+00:00,2026-04-16 16:03:00+00:00,LONG,1.17818,1.1768299999999998,1.1800700000000002,SL,2026-04-16T13:12:00-04:00,1.1768299999999998,-1.0,False
SHORT,2026-04-17 11:03:00+00:00,1.17921,1.18003,1.178062,0.00082,SL,False,1.18003,2026-04-17 08:06:00-04:00,2026-04-17 11:03:00+00:00,2026-04-17 11:03:00+00:00,SHORT,1.17921,1.17998,1.1781320000000002,SL,2026-04-17T08:03:00-04:00,1.17998,-1.0,False
LONG,2026-04-20 12:33:00+00:00,1.17624,1.17624,1.1773320000000005,0.0007800000000002,SL,True,1.17624,2026-04-20 08:57:00-04:00,2026-04-20 12:33:00+00:00,2026-04-20 12:33:00+00:00,LONG,1.17622,1.1755099999999998,1.1772140000000004,TP,2026-04-20T09:27:00-04:00,1.1772140000000004,1.4,True
LONG,2026-04-21 12:12:00+00:00,1.17682,1.17682,1.1789480000000003,0.0015200000000001,SL,True,1.17682,2026-04-21 10:45:00-04:00,2026-04-21 12:12:00+00:00,2026-04-21 12:12:00+00:00,LONG,1.17679,1.17535,1.1788060000000002,BE,2026-04-21T10:57:00-04:00,1.17679,0.0,True
LONG,2026-04-22 13:18:00+00:00,1.17362,1.17362,1.1754960000000003,0.0013400000000003,SL,True,1.17362,2026-04-22 10:09:00-04:00,2026-04-22 13:18:00+00:00,2026-04-22 13:18:00+00:00,LONG,1.17358,1.17233,1.1753300000000004,BE,2026-04-22T10:51:00-04:00,1.17358,0.0,True
