timestamp,currency,importance,event,country,source,hard_event,event_tier
2020-06-03 01:45:00-04:00,CHF,1,GDP q/q,,csv,True,hard
2020-06-03 08:15:00-04:00,USD,3,ADP Non-Farm Employment Change,,csv,True,hard
2020-06-03 09:45:00-04:00,USD,1,Final Services PMI,,csv,True,hard
2020-06-04 02:30:00-04:00,CHF,1,CPI m/m,,csv,True,hard
2020-06-04 15:30:00-04:00,USD,3,Unemployment Rate,,csv,True,hard
2020-06-04 15:30:00-04:00,USD,3,Average Hourly Earnings m/m,,csv,False,standard
2020-06-04 15:30:00-04:00,USD,3,Non-Farm Employment Change,,csv,True,hard
2020-06-09 01:45:00-04:00,CHF,1,Unemployment Rate,,csv,True,hard
2020-06-09 15:30:00-04:00,USD,3,CPI m/m,,csv,True,hard
2020-06-09 15:30:00-04:00,USD,3,FOMC Statement,,csv,True,hard
2020-06-09 15:30:00-04:00,USD,3,FOMC Economic Projections,,csv,True,hard
2020-06-09 15:30:00-04:00,USD,3,CPI y/y,,csv,True,hard
2020-06-10 08:30:00-04:00,USD,3,Core CPI m/m,,csv,True,hard
2020-06-10 14:00:00-04:00,USD,3,Federal Funds Rate,,csv,True,hard
2020-06-10 14:30:00-04:00,USD,3,FOMC Press Conference,,csv,True,hard
2020-06-12 10:00:00-04:00,USD,3,Prelim UoM Consumer Sentiment,,csv,False,standard
2020-06-12 11:00:00-04:00,USD,1,Fed Monetary Policy Report,,csv,True,hard
2020-06-15 11:00:00-04:00,USD,1,FOMC Member Kaplan Speaks,,csv,True,hard
2020-06-15 14:00:00-04:00,USD,3,Fed Announcement,,csv,False,standard
2020-06-15 15:30:00-04:00,USD,3,Core Retail Sales m/m,,csv,True,hard
2020-06-15 15:30:00-04:00,USD,3,Retail Sales m/m,,csv,True,hard
2020-06-16 10:00:00-04:00,USD,3,Fed Chair Powell Testifies,,csv,True,hard
2020-06-16 16:00:00-04:00,USD,1,FOMC Member Clarida Speaks,,csv,True,hard
2020-06-17 12:00:00-04:00,USD,3,Fed Chair Powell Testifies,,csv,True,hard
2020-06-17 16:00:00-04:00,USD,1,FOMC Member Mester Speaks,,csv,True,hard
2020-06-18 03:30:00-04:00,CHF,3,SNB Monetary Policy Assessment,,csv,True,hard
2020-06-18 04:00:00-04:00,CHF,3,SNB Press Conference,,csv,False,standard
2020-06-18 12:15:00-04:00,USD,1,FOMC Member Mester Speaks,,csv,True,hard
