config_id,date_only,phase,rows_count,signals_count,max_allowed,violation
M4_004,2022-04-21,VAL,2,1.0,3,False
M4_004,2022-04-22,VAL,2,1.0,3,False
M4_004,2022-04-28,VAL,4,2.0,3,False
M4_004,2022-04-29,VAL,2,1.0,3,False
M4_004,2022-05-09,VAL,4,2.0,3,False
M4_004,2022-05-16,VAL,4,2.0,3,False
M4_004,2022-05-30,VAL,2,1.0,3,False
M4_004,2022-05-31,VAL,2,1.0,3,False
M4_004,2022-06-06,VAL,4,2.0,3,False
M4_004,2022-06-07,VAL,4,2.0,3,False
M4_004,2022-06-15,VAL,2,1.0,3,False
M4_004,2022-06-27,VAL,4,2.0,3,False
M4_004,2022-06-28,VAL,2,1.0,3,False
M4_004,2022-06-30,VAL,2,1.0,3,False
M4_004,2022-07-01,VAL,4,2.0,3,False
M4_004,2022-07-13,VAL,2,1.0,3,False
M4_004,2022-07-15,VAL,4,2.0,3,False
M4_004,2022-07-22,VAL,2,1.0,3,False
M4_004,2022-07-29,VAL,2,1.0,3,False
M4_004,2022-08-01,VAL,6,3.0,3,False
M4_004,2022-08-04,VAL,4,2.0,3,False
M4_004,2022-08-05,VAL,2,1.0,3,False
M4_004,2022-08-10,VAL,2,1.0,3,False
M4_004,2022-08-12,VAL,4,2.0,3,False
M4_004,2022-08-16,VAL,2,1.0,3,False
M4_004,2022-08-17,VAL,2,1.0,3,False
M4_004,2022-08-18,VAL,2,1.0,3,False
M4_004,2022-08-23,VAL,2,1.0,3,False
M4_004,2022-08-26,VAL,2,1.0,3,False
M4_004,2022-08-30,VAL,2,1.0,3,False
M4_004,2022-09-13,VAL,4,2.0,3,False
M4_004,2022-09-19,VAL,4,2.0,3,False
M4_004,2022-09-20,VAL,2,1.0,3,False
M4_004,2022-09-29,VAL,2,1.0,3,False
M4_004,2022-10-07,VAL,2,1.0,3,False
M4_004,2022-10-12,VAL,4,2.0,3,False
M4_004,2022-10-13,VAL,4,2.0,3,False
M4_004,2022-10-17,VAL,4,2.0,3,False
M4_004,2022-10-19,VAL,2,1.0,3,False
M4_004,2022-10-21,VAL,4,2.0,3,False
M4_004,2022-10-24,VAL,2,1.0,3,False
M4_004,2022-10-25,VAL,2,1.0,3,False
M4_004,2022-10-28,VAL,2,1.0,3,False
M4_004,2022-11-04,VAL,4,2.0,3,False
M4_004,2022-11-17,VAL,6,3.0,3,False
M4_004,2022-11-29,VAL,2,1.0,3,False
M4_004,2022-11-30,VAL,4,2.0,3,False
M4_004,2022-12-01,VAL,2,1.0,3,False
M4_004,2022-12-05,VAL,6,3.0,3,False
M4_004,2022-12-07,VAL,4,2.0,3,False
M4_004,2022-12-19,VAL,2,1.0,3,False
M4_004,2022-12-27,VAL,2,1.0,3,False
M4_004,2022-12-30,VAL,2,1.0,3,False
M4_004,2023-01-05,VAL,6,3.0,3,False
M4_004,2023-01-06,VAL,2,1.0,3,False
M4_004,2023-01-09,VAL,2,1.0,3,False
M4_004,2023-01-11,VAL,4,2.0,3,False
M4_004,2023-01-12,VAL,4,2.0,3,False
M4_004,2023-01-16,VAL,2,1.0,3,False
M4_004,2023-01-17,VAL,2,1.0,3,False
M4_004,2023-01-23,VAL,4,2.0,3,False
M4_004,2023-01-24,VAL,4,2.0,3,False
M4_004,2023-01-26,VAL,2,1.0,3,False
M4_004,2023-01-30,VAL,2,1.0,3,False
M4_004,2023-02-13,VAL,6,3.0,3,False
M4_004,2023-02-15,VAL,2,1.0,3,False
M4_004,2023-02-20,VAL,2,1.0,3,False
M4_004,2023-02-21,VAL,4,2.0,3,False
M4_004,2023-02-22,VAL,4,2.0,3,False
M4_004,2023-02-24,VAL,2,1.0,3,False
M4_004,2023-02-27,VAL,4,2.0,3,False
M4_004,2023-02-28,VAL,4,2.0,3,False
M4_004,2023-03-07,VAL,4,2.0,3,False
M4_004,2023-03-09,VAL,2,1.0,3,False
M4_004,2023-03-13,VAL,2,1.0,3,False
M4_004,2023-03-20,VAL,4,2.0,3,False
M4_004,2023-03-29,VAL,2,1.0,3,False
M4_004,2023-04-04,VAL,4,2.0,3,False
M4_004,2023-04-11,VAL,6,3.0,3,False
M4_004,2023-04-17,VAL,2,1.0,3,False
M4_004,2023-04-19,VAL,2,1.0,3,False
M4_004,2023-04-26,VAL,2,1.0,3,False
M4_004,2023-04-28,VAL,4,2.0,3,False
M4_004,2023-05-01,VAL,4,2.0,3,False
M4_004,2023-05-02,VAL,4,2.0,3,False
M4_004,2023-05-04,VAL,4,2.0,3,False
M4_004,2023-05-08,VAL,2,1.0,3,False
M4_004,2023-05-18,VAL,2,1.0,3,False
M4_004,2023-05-22,VAL,2,1.0,3,False
M4_004,2023-05-24,VAL,2,1.0,3,False
M4_004,2023-05-26,VAL,6,3.0,3,False
M4_004,2023-05-30,VAL,2,1.0,3,False
M4_004,2023-05-31,VAL,2,1.0,3,False
M4_004,2023-06-02,VAL,4,2.0,3,False
M4_004,2023-06-05,VAL,6,3.0,3,False
M4_004,2023-06-06,VAL,2,1.0,3,False
M4_004,2023-06-07,VAL,2,1.0,3,False
M4_004,2023-06-12,VAL,2,1.0,3,False
M4_004,2023-06-13,VAL,2,1.0,3,False
M4_004,2023-06-14,VAL,2,1.0,3,False
M4_004,2023-06-15,VAL,2,1.0,3,False
M4_004,2023-06-16,VAL,6,3.0,3,False
M4_004,2023-06-22,VAL,2,1.0,3,False
M4_004,2023-06-26,VAL,2,1.0,3,False
M4_004,2023-06-29,VAL,2,1.0,3,False
M4_004,2023-06-30,VAL,2,1.0,3,False
M4_004,2023-07-03,VAL,2,1.0,3,False
M4_004,2023-07-06,VAL,2,1.0,3,False
M4_004,2023-07-10,VAL,4,2.0,3,False
M4_004,2023-07-14,VAL,4,2.0,3,False
M4_004,2023-07-27,VAL,2,1.0,3,False
M4_004,2023-07-31,VAL,2,1.0,3,False
M4_004,2023-08-02,VAL,2,1.0,3,False
M4_004,2023-08-07,VAL,2,1.0,3,False
M4_004,2023-08-08,VAL,2,1.0,3,False
M4_004,2023-08-11,VAL,2,1.0,3,False
M4_004,2023-08-18,VAL,2,1.0,3,False
M4_004,2023-08-22,VAL,2,1.0,3,False
M4_004,2023-08-30,VAL,4,2.0,3,False
M4_004,2023-09-01,VAL,6,3.0,3,False
M4_004,2023-09-07,VAL,2,1.0,3,False
M4_004,2023-09-11,VAL,4,2.0,3,False
M4_004,2023-09-29,VAL,2,1.0,3,False
M4_004,2023-10-06,VAL,6,3.0,3,False
M4_004,2023-10-09,VAL,2,1.0,3,False
M4_004,2023-10-10,VAL,6,3.0,3,False
M4_004,2023-10-11,VAL,2,1.0,3,False
M4_004,2023-10-12,VAL,2,1.0,3,False
M4_004,2023-10-13,VAL,2,1.0,3,False
M4_004,2023-10-17,VAL,2,1.0,3,False
M4_004,2023-10-23,VAL,4,2.0,3,False
M4_004,2023-10-25,VAL,2,1.0,3,False
M4_004,2023-10-26,VAL,2,1.0,3,False
M4_004,2023-10-31,VAL,2,1.0,3,False
M4_004,2023-11-06,VAL,2,1.0,3,False
M4_004,2023-11-13,VAL,6,3.0,3,False
M4_004,2023-11-14,VAL,2,1.0,3,False
M4_004,2023-11-20,VAL,2,1.0,3,False
M4_004,2023-11-22,VAL,2,1.0,3,False
M4_004,2023-11-24,VAL,2,1.0,3,False
M4_004,2023-11-28,VAL,2,1.0,3,False
M4_004,2023-12-01,VAL,6,3.0,3,False
M4_004,2023-12-04,VAL,2,1.0,3,False
M4_004,2023-12-12,VAL,2,1.0,3,False
M4_004,2023-12-14,VAL,2,1.0,3,False
M4_004,2023-12-22,VAL,2,1.0,3,False
M4_004,2023-12-29,VAL,4,2.0,3,False
M4_004,2024-01-03,TEST,4,2.0,3,False
M4_004,2024-01-05,TEST,2,1.0,3,False
M4_004,2024-01-09,TEST,2,1.0,3,False
M4_004,2024-01-10,TEST,2,1.0,3,False
M4_004,2024-01-11,TEST,2,1.0,3,False
M4_004,2024-01-17,TEST,2,1.0,3,False
M4_004,2024-01-22,TEST,2,1.0,3,False
